
  ZVRE, 2.05

  stimulus-start        ; stimulus-stop       ; stimulus-unit       ; nof-points; parameter-type; impedance-ohm
  4.00000000000E+08     ; 4.80000000000E+08   ; Hz                  ; 1601      ; S21           ; 50        

  conversion            ; time-domain         ; data-format         ; param-unit; smoothing     ; trace-math
  S                     ; none                ; MAGNITUDE           ; dB        ; none          ; none

  sweep-mode-type       ; notlinear-meas-mode 
  FUNDAMENTAL           ; none                


  freq              ;  S21          
   4.00000000000E+08; -39.6038      
   4.00050000000E+08; -38.0801      
   4.00100000000E+08; -35.944       
   4.00150000000E+08; -38.9073      
   4.00200000000E+08; -38.9636      
   4.00250000000E+08; -43.4635      
   4.00300000000E+08; -36.2017      
   4.00350000000E+08; -38.0086      
   4.00400000000E+08; -39.2221      
   4.00450000000E+08; -45.3491      
   4.00500000000E+08; -42.3692      
   4.00550000000E+08; -35.7992      
   4.00600000000E+08; -33.2699      
   4.00650000000E+08; -33.77        
   4.00700000000E+08; -35.6299      
   4.00750000000E+08; -43.6117      
   4.00800000000E+08; -39.8762      
   4.00850000000E+08; -43.291       
   4.00900000000E+08; -38.8657      
   4.00950000000E+08; -35.1727      
   4.01000000000E+08; -39.1195      
   4.01050000000E+08; -39.4331      
   4.01100000000E+08; -42.1398      
   4.01150000000E+08; -52.4226      
   4.01200000000E+08; -45.677       
   4.01250000000E+08; -33.7342      
   4.01300000000E+08; -30.8617      
   4.01350000000E+08; -33.4456      
   4.01400000000E+08; -34.2185      
   4.01450000000E+08; -35.2165      
   4.01500000000E+08; -34.1357      
   4.01550000000E+08; -35.3544      
   4.01600000000E+08; -38.8592      
   4.01650000000E+08; -39.9583      
   4.01700000000E+08; -38.2166      
   4.01750000000E+08; -35.5175      
   4.01800000000E+08; -36.0547      
   4.01850000000E+08; -34.3865      
   4.01900000000E+08; -33.7471      
   4.01950000000E+08; -34.3731      
   4.02000000000E+08; -33.1383      
   4.02050000000E+08; -32.0633      
   4.02100000000E+08; -33.8117      
   4.02150000000E+08; -35.1213      
   4.02200000000E+08; -33.129       
   4.02250000000E+08; -33.991       
   4.02300000000E+08; -34.2394      
   4.02350000000E+08; -33.9385      
   4.02400000000E+08; -36.3674      
   4.02450000000E+08; -35.7946      
   4.02500000000E+08; -33.8195      
   4.02550000000E+08; -34.0559      
   4.02600000000E+08; -34.3988      
   4.02650000000E+08; -35.9005      
   4.02700000000E+08; -33.6199      
   4.02750000000E+08; -34.3591      
   4.02800000000E+08; -34.2805      
   4.02850000000E+08; -33.4255      
   4.02900000000E+08; -32.4418      
   4.02950000000E+08; -34.4596      
   4.03000000000E+08; -33.4131      
   4.03050000000E+08; -33.8454      
   4.03100000000E+08; -36.3556      
   4.03150000000E+08; -34.1696      
   4.03200000000E+08; -33.6059      
   4.03250000000E+08; -35.6315      
   4.03300000000E+08; -34.7891      
   4.03350000000E+08; -33.2097      
   4.03400000000E+08; -32.7936      
   4.03450000000E+08; -34.1616      
   4.03500000000E+08; -35.5507      
   4.03550000000E+08; -35.9289      
   4.03600000000E+08; -35.626       
   4.03650000000E+08; -34.982       
   4.03700000000E+08; -33.1695      
   4.03750000000E+08; -33.2869      
   4.03800000000E+08; -34.0073      
   4.03850000000E+08; -38.5493      
   4.03900000000E+08; -36.7772      
   4.03950000000E+08; -33.6709      
   4.04000000000E+08; -36.121       
   4.04050000000E+08; -37.9052      
   4.04100000000E+08; -34.9021      
   4.04150000000E+08; -35.0187      
   4.04200000000E+08; -34.9593      
   4.04250000000E+08; -36.1358      
   4.04300000000E+08; -37.7403      
   4.04350000000E+08; -36.1748      
   4.04400000000E+08; -35.7114      
   4.04450000000E+08; -36.6528      
   4.04500000000E+08; -36.2472      
   4.04550000000E+08; -36.2193      
   4.04600000000E+08; -38.4428      
   4.04650000000E+08; -37.1227      
   4.04700000000E+08; -36.2159      
   4.04750000000E+08; -34.9042      
   4.04800000000E+08; -36.0784      
   4.04850000000E+08; -37.5661      
   4.04900000000E+08; -36.5506      
   4.04950000000E+08; -35.5273      
   4.05000000000E+08; -36.123       
   4.05050000000E+08; -36.0114      
   4.05100000000E+08; -35.6249      
   4.05150000000E+08; -36.4117      
   4.05200000000E+08; -37.1304      
   4.05250000000E+08; -36.4179      
   4.05300000000E+08; -37.1981      
   4.05350000000E+08; -38.1519      
   4.05400000000E+08; -36.1839      
   4.05450000000E+08; -34.7817      
   4.05500000000E+08; -35.0161      
   4.05550000000E+08; -38.3186      
   4.05600000000E+08; -37.4585      
   4.05650000000E+08; -36.277       
   4.05700000000E+08; -36.6211      
   4.05750000000E+08; -36.3244      
   4.05800000000E+08; -37.2441      
   4.05850000000E+08; -38.4313      
   4.05900000000E+08; -37.065       
   4.05950000000E+08; -39.3836      
   4.06000000000E+08; -37.8619      
   4.06050000000E+08; -37.6064      
   4.06100000000E+08; -37.4937      
   4.06150000000E+08; -38.3449      
   4.06200000000E+08; -38.0491      
   4.06250000000E+08; -38.8934      
   4.06300000000E+08; -41.3679      
   4.06350000000E+08; -38.4417      
   4.06400000000E+08; -37.7673      
   4.06450000000E+08; -36.9859      
   4.06500000000E+08; -36.5357      
   4.06550000000E+08; -36.7969      
   4.06600000000E+08; -38.2441      
   4.06650000000E+08; -37.3936      
   4.06700000000E+08; -36.4989      
   4.06750000000E+08; -36.3131      
   4.06800000000E+08; -36.2833      
   4.06850000000E+08; -37.7026      
   4.06900000000E+08; -36.2859      
   4.06950000000E+08; -36.7651      
   4.07000000000E+08; -36.1909      
   4.07050000000E+08; -37.4164      
   4.07100000000E+08; -36.8832      
   4.07150000000E+08; -38.8847      
   4.07200000000E+08; -37.1115      
   4.07250000000E+08; -36.9323      
   4.07300000000E+08; -37.6549      
   4.07350000000E+08; -37.1329      
   4.07400000000E+08; -37.6671      
   4.07450000000E+08; -37.7038      
   4.07500000000E+08; -36.0335      
   4.07550000000E+08; -36.1583      
   4.07600000000E+08; -35.8244      
   4.07650000000E+08; -36.3001      
   4.07700000000E+08; -36.1727      
   4.07750000000E+08; -36.2194      
   4.07800000000E+08; -35.4674      
   4.07850000000E+08; -35.242       
   4.07900000000E+08; -36.4259      
   4.07950000000E+08; -36.7299      
   4.08000000000E+08; -37.3046      
   4.08050000000E+08; -36.5228      
   4.08100000000E+08; -36.355       
   4.08150000000E+08; -35.7841      
   4.08200000000E+08; -36.4129      
   4.08250000000E+08; -36.187       
   4.08300000000E+08; -36.1741      
   4.08350000000E+08; -35.6165      
   4.08400000000E+08; -36.388       
   4.08450000000E+08; -37.6606      
   4.08500000000E+08; -37.7541      
   4.08550000000E+08; -35.3557      
   4.08600000000E+08; -35.9508      
   4.08650000000E+08; -36.6421      
   4.08700000000E+08; -37.5716      
   4.08750000000E+08; -37.354       
   4.08800000000E+08; -34.9986      
   4.08850000000E+08; -35.7947      
   4.08900000000E+08; -36.356       
   4.08950000000E+08; -36.1914      
   4.09000000000E+08; -36.0949      
   4.09050000000E+08; -35.7035      
   4.09100000000E+08; -36.578       
   4.09150000000E+08; -36.6726      
   4.09200000000E+08; -37.219       
   4.09250000000E+08; -36.5502      
   4.09300000000E+08; -36.6413      
   4.09350000000E+08; -37.2987      
   4.09400000000E+08; -37.1732      
   4.09450000000E+08; -37.6053      
   4.09500000000E+08; -36.5812      
   4.09550000000E+08; -36.4826      
   4.09600000000E+08; -36.1         
   4.09650000000E+08; -36.2887      
   4.09700000000E+08; -36.9205      
   4.09750000000E+08; -36.4505      
   4.09800000000E+08; -36.9194      
   4.09850000000E+08; -36.9147      
   4.09900000000E+08; -36.6567      
   4.09950000000E+08; -37.596       
   4.10000000000E+08; -38.2971      
   4.10050000000E+08; -38.2903      
   4.10100000000E+08; -37.1913      
   4.10150000000E+08; -36.7412      
   4.10200000000E+08; -36.2831      
   4.10250000000E+08; -36.662       
   4.10300000000E+08; -35.9497      
   4.10350000000E+08; -36.0126      
   4.10400000000E+08; -36.6986      
   4.10450000000E+08; -35.2429      
   4.10500000000E+08; -35.0702      
   4.10550000000E+08; -33.5054      
   4.10600000000E+08; -33.6703      
   4.10650000000E+08; -32.9779      
   4.10700000000E+08; -33.0598      
   4.10750000000E+08; -32.581       
   4.10800000000E+08; -33.0297      
   4.10850000000E+08; -33.3437      
   4.10900000000E+08; -33.1163      
   4.10950000000E+08; -33.2565      
   4.11000000000E+08; -34.0253      
   4.11050000000E+08; -33.1338      
   4.11100000000E+08; -33.0113      
   4.11150000000E+08; -33.1269      
   4.11200000000E+08; -33.092       
   4.11250000000E+08; -32.9459      
   4.11300000000E+08; -33.1486      
   4.11350000000E+08; -32.9035      
   4.11400000000E+08; -32.492       
   4.11450000000E+08; -32.8605      
   4.11500000000E+08; -32.6052      
   4.11550000000E+08; -32.4094      
   4.11600000000E+08; -32.3221      
   4.11650000000E+08; -32.43        
   4.11700000000E+08; -32.3611      
   4.11750000000E+08; -32.6497      
   4.11800000000E+08; -33.4532      
   4.11850000000E+08; -33.6367      
   4.11900000000E+08; -33.0784      
   4.11950000000E+08; -33.8404      
   4.12000000000E+08; -34.2608      
   4.12050000000E+08; -34.8339      
   4.12100000000E+08; -34.0836      
   4.12150000000E+08; -34.3776      
   4.12200000000E+08; -34.9063      
   4.12250000000E+08; -33.8863      
   4.12300000000E+08; -34.0681      
   4.12350000000E+08; -34.0733      
   4.12400000000E+08; -34.2064      
   4.12450000000E+08; -33.9188      
   4.12500000000E+08; -33.7895      
   4.12550000000E+08; -33.7519      
   4.12600000000E+08; -33.9631      
   4.12650000000E+08; -33.5706      
   4.12700000000E+08; -33.7916      
   4.12750000000E+08; -34.7482      
   4.12800000000E+08; -34.95        
   4.12850000000E+08; -34.6304      
   4.12900000000E+08; -34.3896      
   4.12950000000E+08; -34.6897      
   4.13000000000E+08; -34.3165      
   4.13050000000E+08; -33.7548      
   4.13100000000E+08; -33.0062      
   4.13150000000E+08; -32.5654      
   4.13200000000E+08; -32.0634      
   4.13250000000E+08; -31.6497      
   4.13300000000E+08; -30.9239      
   4.13350000000E+08; -30.2596      
   4.13400000000E+08; -30.2181      
   4.13450000000E+08; -29.7636      
   4.13500000000E+08; -29.9729      
   4.13550000000E+08; -29.3266      
   4.13600000000E+08; -29.0472      
   4.13650000000E+08; -28.4457      
   4.13700000000E+08; -28.2259      
   4.13750000000E+08; -27.5318      
   4.13800000000E+08; -27.2669      
   4.13850000000E+08; -26.9239      
   4.13900000000E+08; -26.5609      
   4.13950000000E+08; -26.2187      
   4.14000000000E+08; -25.5069      
   4.14050000000E+08; -24.4787      
   4.14100000000E+08; -23.0948      
   4.14150000000E+08; -22.1891      
   4.14200000000E+08; -21.7109      
   4.14250000000E+08; -21.0854      
   4.14300000000E+08; -20.1549      
   4.14350000000E+08; -18.01        
   4.14400000000E+08; -16.1783      
   4.14450000000E+08; -14.3227      
   4.14500000000E+08; -12.747       
   4.14550000000E+08; -11.2474      
   4.14600000000E+08; -10.0436      
   4.14650000000E+08; -12.2449      
   4.14700000000E+08; -15.6595      
   4.14750000000E+08; -16.1865      
   4.14800000000E+08; -13.9216      
   4.14850000000E+08; -14.6718      
   4.14900000000E+08; -14.0901      
   4.14950000000E+08; -14.358       
   4.15000000000E+08; -15.2426      
   4.15050000000E+08; -17.4091      
   4.15100000000E+08; -19.5687      
   4.15150000000E+08; -21.6975      
   4.15200000000E+08; -23.944       
   4.15250000000E+08; -24.309       
   4.15300000000E+08; -25.3874      
   4.15350000000E+08; -25.8703      
   4.15400000000E+08; -25.9774      
   4.15450000000E+08; -27.6811      
   4.15500000000E+08; -28.8947      
   4.15550000000E+08; -29.237       
   4.15600000000E+08; -29.3482      
   4.15650000000E+08; -30.7111      
   4.15700000000E+08; -31.1962      
   4.15750000000E+08; -32.3848      
   4.15800000000E+08; -31.8374      
   4.15850000000E+08; -32.0395      
   4.15900000000E+08; -32.8822      
   4.15950000000E+08; -33.9793      
   4.16000000000E+08; -37.0038      
   4.16050000000E+08; -38.8472      
   4.16100000000E+08; -36.5394      
   4.16150000000E+08; -35.5479      
   4.16200000000E+08; -34.0319      
   4.16250000000E+08; -33.7719      
   4.16300000000E+08; -32.1688      
   4.16350000000E+08; -31.2489      
   4.16400000000E+08; -30.4993      
   4.16450000000E+08; -28.8722      
   4.16500000000E+08; -27.8966      
   4.16550000000E+08; -26.2116      
   4.16600000000E+08; -25.0333      
   4.16650000000E+08; -23.2131      
   4.16700000000E+08; -21.6315      
   4.16750000000E+08; -20.3814      
   4.16800000000E+08; -18.5533      
   4.16850000000E+08; -16.797       
   4.16900000000E+08; -15.2365      
   4.16950000000E+08; -13.9304      
   4.17000000000E+08; -13.1422      
   4.17050000000E+08; -12.3763      
   4.17100000000E+08; -11.7758      
   4.17150000000E+08; -10.7493      
   4.17200000000E+08; -9.70292      
   4.17250000000E+08; -7.71011      
   4.17300000000E+08; -5.1882       
   4.17350000000E+08; -3.60738      
   4.17400000000E+08; -2.4482       
   4.17450000000E+08; -1.40994      
   4.17500000000E+08; -1.03512      
   4.17550000000E+08; -1.039        
   4.17600000000E+08; -0.113775     
   4.17650000000E+08;  0.864279     
   4.17700000000E+08;  0.196457     
   4.17750000000E+08; -1.39517      
   4.17800000000E+08; -2.81683      
   4.17850000000E+08; -4.57689      
   4.17900000000E+08; -6.13241      
   4.17950000000E+08; -7.9727       
   4.18000000000E+08; -9.69478      
   4.18050000000E+08; -11.7929      
   4.18100000000E+08; -12.0652      
   4.18150000000E+08; -12.5879      
   4.18200000000E+08; -12.6552      
   4.18250000000E+08; -14.3514      
   4.18300000000E+08; -14.7993      
   4.18350000000E+08; -16.49        
   4.18400000000E+08; -18.5289      
   4.18450000000E+08; -20.2103      
   4.18500000000E+08; -21.7964      
   4.18550000000E+08; -23.56        
   4.18600000000E+08; -25.1273      
   4.18650000000E+08; -26.0198      
   4.18700000000E+08; -27.499       
   4.18750000000E+08; -27.6297      
   4.18800000000E+08; -29.731       
   4.18850000000E+08; -32.1523      
   4.18900000000E+08; -32.5672      
   4.18950000000E+08; -32.3046      
   4.19000000000E+08; -31.2028      
   4.19050000000E+08; -29.2673      
   4.19100000000E+08; -27.0012      
   4.19150000000E+08; -24.6413      
   4.19200000000E+08; -22.3813      
   4.19250000000E+08; -20.8508      
   4.19300000000E+08; -19.9282      
   4.19350000000E+08; -18.5851      
   4.19400000000E+08; -17.4765      
   4.19450000000E+08; -15.8267      
   4.19500000000E+08; -13.3477      
   4.19550000000E+08; -10.24        
   4.19600000000E+08; -7.12065      
   4.19650000000E+08; -4.05934      
   4.19700000000E+08; -1.33141      
   4.19750000000E+08;  0.385356     
   4.19800000000E+08;  1.5401       
   4.19850000000E+08;  1.93773      
   4.19900000000E+08;  3.45382      
   4.19950000000E+08;  3.62369      
   4.20000000000E+08;  2.96954      
   4.20050000000E+08;  2.80403      
   4.20100000000E+08;  1.99824      
   4.20150000000E+08; -0.185741     
   4.20200000000E+08; -2.90696      
   4.20250000000E+08; -5.05631      
   4.20300000000E+08; -6.74328      
   4.20350000000E+08; -8.6751       
   4.20400000000E+08; -11.2369      
   4.20450000000E+08; -14.2577      
   4.20500000000E+08; -17.3478      
   4.20550000000E+08; -21.0697      
   4.20600000000E+08; -25.076       
   4.20650000000E+08; -28.997       
   4.20700000000E+08; -29.8013      
   4.20750000000E+08; -26.9757      
   4.20800000000E+08; -23.667       
   4.20850000000E+08; -20.5576      
   4.20900000000E+08; -17.8461      
   4.20950000000E+08; -15.5015      
   4.21000000000E+08; -12.9182      
   4.21050000000E+08; -10.4279      
   4.21100000000E+08; -8.11482      
   4.21150000000E+08; -6.04306      
   4.21200000000E+08; -4.19966      
   4.21250000000E+08; -2.36033      
   4.21300000000E+08; -0.568094     
   4.21350000000E+08;  1.09373      
   4.21400000000E+08;  2.68062      
   4.21450000000E+08;  4.22623      
   4.21500000000E+08;  5.74129      
   4.21550000000E+08;  7.18842      
   4.21600000000E+08;  8.51766      
   4.21650000000E+08;  9.8052       
   4.21700000000E+08;  10.9957      
   4.21750000000E+08;  12.1043      
   4.21800000000E+08;  13.1131      
   4.21850000000E+08;  13.9869      
   4.21900000000E+08;  14.736       
   4.21950000000E+08;  15.3757      
   4.22000000000E+08;  15.9467      
   4.22050000000E+08;  16.4642      
   4.22100000000E+08;  16.8707      
   4.22150000000E+08;  17.2318      
   4.22200000000E+08;  17.5482      
   4.22250000000E+08;  17.808       
   4.22300000000E+08;  18.0403      
   4.22350000000E+08;  18.2362      
   4.22400000000E+08;  18.396       
   4.22450000000E+08;  18.5248      
   4.22500000000E+08;  18.6488      
   4.22550000000E+08;  18.7729      
   4.22600000000E+08;  18.8604      
   4.22650000000E+08;  18.9547      
   4.22700000000E+08;  19.0478      
   4.22750000000E+08;  19.1307      
   4.22800000000E+08;  19.1964      
   4.22850000000E+08;  19.2281      
   4.22900000000E+08;  19.2732      
   4.22950000000E+08;  19.3113      
   4.23000000000E+08;  19.3469      
   4.23050000000E+08;  19.3808      
   4.23100000000E+08;  19.4291      
   4.23150000000E+08;  19.4801      
   4.23200000000E+08;  19.5276      
   4.23250000000E+08;  19.5645      
   4.23300000000E+08;  19.6069      
   4.23350000000E+08;  19.6326      
   4.23400000000E+08;  19.6541      
   4.23450000000E+08;  19.6706      
   4.23500000000E+08;  19.6811      
   4.23550000000E+08;  19.6803      
   4.23600000000E+08;  19.6655      
   4.23650000000E+08;  19.6505      
   4.23700000000E+08;  19.632       
   4.23750000000E+08;  19.6158      
   4.23800000000E+08;  19.6158      
   4.23850000000E+08;  19.6223      
   4.23900000000E+08;  19.6629      
   4.23950000000E+08;  19.7096      
   4.24000000000E+08;  19.7287      
   4.24050000000E+08;  19.7507      
   4.24100000000E+08;  19.7721      
   4.24150000000E+08;  19.7861      
   4.24200000000E+08;  19.7994      
   4.24250000000E+08;  19.8227      
   4.24300000000E+08;  19.8456      
   4.24350000000E+08;  19.8608      
   4.24400000000E+08;  19.8793      
   4.24450000000E+08;  19.8979      
   4.24500000000E+08;  19.923       
   4.24550000000E+08;  19.9506      
   4.24600000000E+08;  19.9843      
   4.24650000000E+08;  20.0101      
   4.24700000000E+08;  20.0413      
   4.24750000000E+08;  20.0651      
   4.24800000000E+08;  20.0833      
   4.24850000000E+08;  20.0947      
   4.24900000000E+08;  20.1069      
   4.24950000000E+08;  20.1011      
   4.25000000000E+08;  20.1046      
   4.25050000000E+08;  20.1237      
   4.25100000000E+08;  20.143       
   4.25150000000E+08;  20.1729      
   4.25200000000E+08;  20.2011      
   4.25250000000E+08;  20.2307      
   4.25300000000E+08;  20.2547      
   4.25350000000E+08;  20.2782      
   4.25400000000E+08;  20.2951      
   4.25450000000E+08;  20.3097      
   4.25500000000E+08;  20.3226      
   4.25550000000E+08;  20.3378      
   4.25600000000E+08;  20.3499      
   4.25650000000E+08;  20.3523      
   4.25700000000E+08;  20.3481      
   4.25750000000E+08;  20.3449      
   4.25800000000E+08;  20.3431      
   4.25850000000E+08;  20.3403      
   4.25900000000E+08;  20.3269      
   4.25950000000E+08;  20.3022      
   4.26000000000E+08;  20.269       
   4.26050000000E+08;  20.2464      
   4.26100000000E+08;  20.2161      
   4.26150000000E+08;  20.207       
   4.26200000000E+08;  20.2011      
   4.26250000000E+08;  20.1974      
   4.26300000000E+08;  20.1982      
   4.26350000000E+08;  20.2061      
   4.26400000000E+08;  20.2037      
   4.26450000000E+08;  20.1977      
   4.26500000000E+08;  20.1881      
   4.26550000000E+08;  20.1737      
   4.26600000000E+08;  20.1717      
   4.26650000000E+08;  20.1698      
   4.26700000000E+08;  20.1556      
   4.26750000000E+08;  20.1525      
   4.26800000000E+08;  20.1332      
   4.26850000000E+08;  20.1154      
   4.26900000000E+08;  20.103       
   4.26950000000E+08;  20.0834      
   4.27000000000E+08;  20.0652      
   4.27050000000E+08;  20.0407      
   4.27100000000E+08;  20.0122      
   4.27150000000E+08;  19.9884      
   4.27200000000E+08;  19.9517      
   4.27250000000E+08;  19.9275      
   4.27300000000E+08;  19.8882      
   4.27350000000E+08;  19.8751      
   4.27400000000E+08;  19.871       
   4.27450000000E+08;  19.8738      
   4.27500000000E+08;  19.8805      
   4.27550000000E+08;  19.8759      
   4.27600000000E+08;  19.8573      
   4.27650000000E+08;  19.8408      
   4.27700000000E+08;  19.8321      
   4.27750000000E+08;  19.8291      
   4.27800000000E+08;  19.8213      
   4.27850000000E+08;  19.8055      
   4.27900000000E+08;  19.7997      
   4.27950000000E+08;  19.7998      
   4.28000000000E+08;  19.8049      
   4.28050000000E+08;  19.8056      
   4.28100000000E+08;  19.8098      
   4.28150000000E+08;  19.8295      
   4.28200000000E+08;  19.8388      
   4.28250000000E+08;  19.841       
   4.28300000000E+08;  19.8394      
   4.28350000000E+08;  19.8405      
   4.28400000000E+08;  19.8495      
   4.28450000000E+08;  19.8547      
   4.28500000000E+08;  19.8658      
   4.28550000000E+08;  19.8692      
   4.28600000000E+08;  19.8681      
   4.28650000000E+08;  19.8607      
   4.28700000000E+08;  19.852       
   4.28750000000E+08;  19.8394      
   4.28800000000E+08;  19.8235      
   4.28850000000E+08;  19.8123      
   4.28900000000E+08;  19.8105      
   4.28950000000E+08;  19.8147      
   4.29000000000E+08;  19.8221      
   4.29050000000E+08;  19.8213      
   4.29100000000E+08;  19.8216      
   4.29150000000E+08;  19.8396      
   4.29200000000E+08;  19.8767      
   4.29250000000E+08;  19.9124      
   4.29300000000E+08;  19.9494      
   4.29350000000E+08;  19.9771      
   4.29400000000E+08;  19.9919      
   4.29450000000E+08;  20.0136      
   4.29500000000E+08;  20.0407      
   4.29550000000E+08;  20.0713      
   4.29600000000E+08;  20.1021      
   4.29650000000E+08;  20.1388      
   4.29700000000E+08;  20.1711      
   4.29750000000E+08;  20.1914      
   4.29800000000E+08;  20.2071      
   4.29850000000E+08;  20.2044      
   4.29900000000E+08;  20.1951      
   4.29950000000E+08;  20.2015      
   4.30000000000E+08;  20.23        
   4.30050000000E+08;  20.2596      
   4.30100000000E+08;  20.2849      
   4.30150000000E+08;  20.3002      
   4.30200000000E+08;  20.321       
   4.30250000000E+08;  20.3393      
   4.30300000000E+08;  20.353       
   4.30350000000E+08;  20.3543      
   4.30400000000E+08;  20.3625      
   4.30450000000E+08;  20.3693      
   4.30500000000E+08;  20.3704      
   4.30550000000E+08;  20.3744      
   4.30600000000E+08;  20.379       
   4.30650000000E+08;  20.4095      
   4.30700000000E+08;  20.4562      
   4.30750000000E+08;  20.5059      
   4.30800000000E+08;  20.5509      
   4.30850000000E+08;  20.5977      
   4.30900000000E+08;  20.6377      
   4.30950000000E+08;  20.659       
   4.31000000000E+08;  20.6887      
   4.31050000000E+08;  20.6993      
   4.31100000000E+08;  20.7208      
